ID,name,Email,first prefrence,second prefrence,third prefrence
60151,احمد محمد خالد  ,ahmd.mhmd.khald@fekrahub.com  ,الاحصاء الرياضي  ,علوم الحاسب  ,رياضيات  
60777,محمود  ,mhmwd@fekrahub.com  ,علوم الحاسب  ,رياضيات  ,الاحصاء الرياضي  
61222,خالد  ,khald@fekrahub.com  ,علوم الحاسب  ,الاحصاء الرياضي  ,رياضيات  
61221,مصطفي  ,mstfy@fekrahub.com  ,علوم الحاسب  ,رياضيات  ,الاحصاء الرياضي  
61223,مازن  ,mazn@fekrahub.com  ,الاحصاء الرياضي  ,علوم الحاسب  ,رياضيات  
61224,سامي  ,samy@fekrahub.com  ,علوم الحاسب  ,الاحصاء الرياضي  ,رياضيات  
61225,يوسف  ,ywsf@fekrahub.com  ,رياضيات,الاحصاء الرياضي  ,علوم الحاسب  
61226,سلمي  ,slma@fekrahub.com  ,علوم الحاسب  ,الاحصاء الرياضي  ,رياضيات  
61227,ساره  ,sarh@fekrahub.com  ,علوم الحاسب  ,رياضيات  ,الاحصاء الرياضي  
61220,مريم  ,mrym@fekrahub.com  ,الاحصاء الرياضي  ,علوم الحاسب  ,رياضيات  
